the_geom,draworder,name,description,timestamp,begin,_end,altitudemode,tessellate,extrude,visibility,cartodb_id,icon,permit,permittee,mine_name,county,permit_acs,acs_open,license_no,northing,easting,status
0101000020E610000001DE52FD70DB53C06A43A5C982A14340,,DM-84-101,,,,,,-1,0,-1,1,,DM-84-101,"Mettiki Coal, LLC",Mettiki Mine,GA,813,665,DML-015-99,529375,112360,Complete
0101000020E61000008BE7C76027C553C0B2088E6754C34340,,DM-00-111,,,,,,-1,0,-1,2,,DM-00-111,ARJ Construction,Taylor #1Mine,GA,18,18,DML-018-03,623150,213130,Active
0101000020E6100000FF8142BCC6D753C026AA3D865CA94340,,DM-03-112,,,,,,-1,0,-1,3,,DM-03-112,"Backbone Mountain, LLC",Steyer #2 Mine,GA,31,31,DML-019-03,551280,129150,Active
0101000020E6100000B2AFDA28EBCC53C0737369F12DD44340,,DM-09-113,,,,,,-1,0,-1,4,,DM-09-113,Maryland Energy Resources,Casselman Mine,GA,35,35,DML-20-09,671890,180070,Active
0101000020E6100000483843F803BE53C04A54D62178CA4340,,SC-08-104,,,,,,-1,0,-1,5,,SC-08-104,"Beechwood Coal, LLC",Mine No. 5 Tipple,AL,66,49,OPL-322-08,642765,245025,Active
0101000020E61000001A25A0831AC353C0E382CE6DBFC04340,,SC-87-116,,,,,,-1,0,-1,6,,SC-87-116,Franklin Coal Yard,Franklin Coal Yard,AL,6,6,OPL-318-05,615600,222000,Active
0101000020E6100000655D73AFA8C153C0B0BED23141C14340,,SC-87-117,,,,,,-1,0,-1,7,,SC-87-117,"Tri-Star Mining, Inc.",Clark Tipple,AL,2.2,2,OPL-278-85,616900,228400,Active
0101000020E61000007AB64F93BBCC53C04176C1D25EB94340,,SC-07-120,,,,,,-1,0,-1,8,,SC-07-120,"G & S Coal Co., Inc.",Snake Hill Yard No. 1,GA,6,2,OPL-011-67,595600,179050,Active
0101000020E6100000B0F666CA74BC53C0388E4A68B0D34340,,SM-08-40,,,,,,-1,0,-1,9,,SM-08-40,"Ritchie Trucking Co., Inc.",Consol Mine,AL,180,37,OPL-317-03,668850,252450,Complete
0101000020E6100000620255C785BD53C0AEC4C6BB8ACA4340,,SM-08-359,,,,,,-1,0,-1,10,,SM-08-359,"Beechwood Coal, LLC",Silt Pit,AL,36,8,OPL-322-08,642925,247200,Active
