,county,inspector,siteName,Permittee,reportNumber,permit,date,sitecondition,sitestatus,EvidenceCollected,Compliance,Q_1,Q_2,Q_3,Q_4,Q_5,Q_6,Q_7,Q_8,Q_9,Q_10,Q_11,Q_12,Q_13,Q_14,Q_15,Q_16,Q_17,Q_18,Q_19,Q_20,Q_21,Q_22,Q_23,Q_24,Q_25,Q_26,Q_27,Q_28,Q_29,Q_30,comments
531,Garrett,ARRINGTON,Pee Wee Hill Mine,"G & S Coal Company, Inc",435-160229-FIR,SM-00-435,2/29/2015,C,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12/10/16,N/A,N/A,N/A,N/A,N/A,N/A,"Conducted inspection today with Ted Schwinabart and Jeff Snyder with the Bureau of Mines.  No activity at the mine today as the men are all at MSHA training.  Mining and backfilling has continued on the elklick on INC II. Preparing to shoot on the Harlem on INC IV.  No activity on the Lower Bakerstown.  Advised operator to continue backfilling as the Bureau would like to see at least 40 acres backfilled by the end of the year or more bond may be requested.  Note, as the weather allows, continue to maintenance all drainage structures in preparation for spring flows, repair any rills and maintain or install permiter markers as needed.   "
2584,Garrett,MONGOLD,Taylor No. 1 Lower Bakerstown Mine,ARJ Construction,DM114-171115-FIR,DM-17-114,11/15/17,C,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,N/A,construction,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,N/A,N/A,N/A,12/15/17,Yes,No,Yes,N/A,N/A,Yes, Contractor is working on the deep mine face-up area.  The sediment and drainage controls are being completed as the site progresses. Pond #3 was not discharging. The discharge point for this structure needs to be re-established so that it can be monitored and sampled properly. Quarterly BOM water monitoring reports and NetDMR's are being submitted on time with no violations noted.  The newly constructed Pond #3 needs to be treated for suspended solids in order to compliant with discharge limits when discharging.   
2332,Garrett,MONGOLD,Little Pittsburgh Strip,"Savage Mountain Minerals, Inc.",445-171115-FIR,SM-04-445,11/15/17,C,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,7/31/18,Yes,Yes,Yes,Yes,Yes,Yes, Inspection of the site with Tom Murray.  Sediment and drainage controls were functioning properly. The ponds were not discharging. Quarter BOM water monitoring reports and NetDMR's are being submitted on time with no violations noted.  No blasting has occurred during this quarter of mining activities.  No environmental problems were observed during this inspection.      
2344,Garrett,MONGOLD,Pittsburgh Strip,"Savage Mountain Minerals, Inc.",446-171115-FIR,SM-04-446,11/15/17,C,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,No,No,No,N/A,N/A,N/A,Yes,Yes,Yes,9/30/18,Yes,Yes,N/A,N/A,N/A,12/31/17, The Operator has submitted a request for temporary cessation of mining activities at this site to be approved.  Sediment and drainage controls were functioning properly. Ponds were not discharging.  The Operator is working on backfilling operations.  No problems were observed during this inspection.     
2567,Garrett,MONGOLD,Taylor #1 Mine,ARJ Construction,DM111-171114-FIR,DM-00-111,11/14/17,C,A,VO,no answer given,Yes,Yes,N/A,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,No,No,events.,N/A,N/A,N/A,N/A,N/A,Yes,12/15/17,Yes,Yes,N/A,N/A,N/A,N/A, Deep mining on one section today.  Processing coal and loading trucks for shipment.  Pond #1 was not discharging.  No environmental problems were observed during this inspection.   
2245,Allegany,MONGOLD,Naked Lake/Cabin Run,"Beechwod Coal, LLC",439-171109-FIR,13-SP-1100,11/9/17,C,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,7/31/18,Yes,Yes,Yes,Yes,Yes,2/16/18, Actively mining the Sewickly coal seams today.  Processing coal and loading trucks for shipment.  Sediment and drainage controls were functioning properly. Ponds were not discharging on this date. Quarterly BOM water monitoring reports and NetDMR's are being submitted on time with no violations noted.  Blasting records are on file at the mine office with no violations noted.  No environmental problems were observed during this inspection.    
2155,Allegany,MONGOLD,Barton North Mine,Arch Coal / Vindex Energy Corp.,427-171108-FIR,SM-96-427,11/8/17,C,C,VO,no answer given,Yes,Yes,N/A,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,completed.,Yes,7/31/18,Yes,Yes,N/A,N/A,N/A,N/A, No changes in permit conditions since my last inspection.  Ponds were not discharging.  No environmental problems were observed during this inspection.   
2192,Allegany,MONGOLD,Jackson Mountain Mine,Arch Coal / Vindex Energy Corp.,432-171108-FIR,SM-99-432,11/8/17,C,C,VO,no answer given,Yes,Yes,N/A,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,No,No,No,site.,N/A,N/A,Yes,Yes,Yes,7/31/17,Yes,Yes,N/A,N/A,N/A,N/A,   No environmental problems were observed during this inspection.  Pond and traps were not discharging.   
2366,Garrett,MONGOLD,Russell Farm,"Savage Mountain Minerals, Inc.",448-171108-FIR,SM-05-448,11/8/17,C,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,N/A,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,9/30/18,Yes,Yes,Yes,Yes,Yes,12/31/17, Actively mining the the #2 Franklin coal seam on this date.  Sediment and drainge controls were functioning properly today. Pond #4 was not discharging. Quarterly BOM water monitoring reports and NetDMR's are being submitted on time with no violations noted.  Blasting records are being kept on site with no violations noted.     
2259,Allegany,MONGOLD,Miller Road Mine,"G & S Coal Company, Inc",440-171107-FIR,SM-01-440,11/7/17,C,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,N/A,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,N/A,N/A,N/A,Yes,No,Yes,12/10/17,Yes,Yes,Yes,Yes,Yes,12/31/17," No activity on this site today.  The haulroad has washed due to a large storm event and still needs repaired.  When Tri-Star Mining is finished backfilling and reclamation on the Franklin pit area, G&S coal is to continue with backfilling operations and reclamation until the entire site is completed.  Sediment and drainage controls were functioning properly. Pond #3 was not discharging. Quarterly BOM water monitoring reports and NetDMR's are being submitted on time with no violations noted.     "
