report_number,Inspection_Date,evidence collected,permit_acres,affected_acres,est_bonded_limit,est_open_acres,Permit_no.x,Inspector,County,Novo_date,num_viol,NOVO_num,Report Violation,COMAR,history_viol,seriousness_viol,negligence_viol,effect_viol_reclamation,good_faith,assessment_failure,total_assess,day_beyond_deadline,deadline,total_paid,received_date,notes,violation_issued_fy,Date,Permit_no.y,permittee,Status,Sig_vio,impact_type,description,stop_work_order,outcome,penalty_status,quarter_year_resolved
040-140324-FIR,3/24/14,A,180,177,50,42,SM-08-040,R. Mongold,Allegany,3/24/14,1 of 1,040-140324-NOV,Seismograph,26.20.22.06,0,500,0,0,-300,0,200,0,4/14/14,200,8/28/14,"2. Nature of Violation: According to the blast report and the blaster in charge, Dennis Fox, the seismograph was located at the Ritchie residence some 1,222 feet away. Also the GPS coordinates reported on the blast report were not correct for this location.
Further review showed that the reported blast location was approximately 530&#39; from the nearest protected
structure. This residence should have been used for recording the seismograph reading on 2/26/2014.",2014,3/24/14,SM-08-040,"Ritchie Trucking Co., Inc",A,NA,NA,blasting,no,resolved,8/4/15,1 of 16
104-151103-FIR,11/3/15,VO,49,49,49,49,SC-08-104,Murphy,Allegany,11/3/15,1 of 1,104-151103-NOV,Failure to Sample/Submit,26.20.20.05,0,0,500,0,-500,0,0,0,12/2/15,0,0,"It was discovered during an office review, that in June of 2015, there was a discharge from Outfall 002. The
NPDES Permit requires sampling for selenium. This was not submitted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
419-170818-FIR,8/18/17,P,506,463,167,166,SM-91-419,Ron Schartiger,Garrett,8/17/17,1 of 1,419-170817-NOV,Turbid Water,26.20.21.02,0,750,500,0,-1000,0,250,0,8/25/17,250,3/14/18,NA,2018,8/17/17,SM-91-419,Tri-Star Mining Inc.,NA,yes,e/h,non-compliant discharge,no,resolved,3/13/18,3 of 18
435-140918-FIR,9/18/14,VO,220,204,101,93,SM-00-435,Murray,Garrett,9/18/14,1 of 1,435-140918-NOV,Mining off permit,26.20.31.07,0,1500,1000,0,-1000,0,1500,0,10/30/14,1500,3/17/15,NA,2015,9/18/14,SM-00-435,G & S Coal Co. Inc.,NA,yes,t/p,mined off permit,yes,resolved,3/12/15,NA
441-161004-FIR,10/4/16,VO,24,23,24,0,SM-02-441,Ron Schartiger,Garrett,10/6/16,1 of 1,441-161006-NOV,Rills and gullies,26.20.28.06,0,0,0,500,-300,0,200,0,10/24/16,200,3/2/17,Rills and gullies have been an ongoing issue on the Benard tract. The issues were discussed with the operator on multiple occasions.,2017,10/6/16,SM-02-441,G & S Coal Co. Inc.,NA,yes,t/p,rills and gullies,no,resolved,2/24/17,3 of 17
443-170110-FIR,1/10/17,P,511,498,273,65,SM-02-443,Ron Schartiger,Garrett,1/10/17,1 of 1,443-170110-NOV,Discharge exceeds limits,26.20.21.02,0,1000,1000,0,-1000,0,1000,0,1/10/17,1000,4/17/17,NA,2017,1/10/17,SM-02-443,Vindex Energy Corp.,NA,yes,e/h,non-compliant discharge,no,resolved,4/18/17,4 of 17
450-160104-FIR,1/4/16,P,34,33,15,1,SM-06-450,Ron Schartiger,Garrett,1/6/16,1 of 2,450-160106-NOV,Rills and gullies,26.20.28.06,0,750,0,500,0,0,1250,0,1/29/16,0,0,"The operator was directed to make repairs on any rills that have formed on the permit area. The operator has failed
to make the necessary repairs by the deadline. A violation will be issued.
The operator was directed to make repairs on several areas that were sparsely vegetated. The operator has failed
to make the necessary repairs within the deadline. A violation will be issued.",2016,1/6/16,SM-06-450,LAOC Corp,NA,yes,t/p,1) regrading or stabilizing rills washes 2) vegetation,no,resolved,10/1/16,2 of 17
450-160104-FIR,1/4/16,P,34,33,15,1,SM-06-450,Ron Schartiger,Garrett,1/6/16,2 of 2,450-160106-NOV,Vegetation,26.21.01.15,600,750,0,500,0,0,1850,0,1/29/16,0,0,Death of Tom Shank and limited means of POA meant no fines had to be paid,2016,1/6/16,SM-06-450,LAOC Corp,NA,yes,t/p,1) regrading or stabilizing rills washes 2) vegetation,no,resolved,10/1/16,2 of 17
452-140221-FIR,2/21/14,VO,39,29,22,18,SM-06-452,Ron Schartiger,Garrett,3/3/14,1 of 2,452-140304-NOV,Peak Particle Velocity,26.20.22.06,0,500,0,0,-400,0,100,0,3/6/14,100,8/28/14,NA,2014,3/4/14,SM-06-452,WPO Inc.,A,NA,NA,blast exceeded limits TSS were exceeded,no,resolved,8/19/14,NA
452-140221-FIR,2/21/14,VO,39,29,22,18,SM-06-452,Ron Schartiger,Garrett,3/3/14,2 of 2,452-140304-NOV,Discharge exceeds limits,26.20.21.02,600,500,0,0,-500,0,600,0,3/4/14,600,8/28/14,NA,2014,3/4/14,SM-06-452,WPO Inc.,A,NA,NA,blast exceeded limits TSS were exceeded,no,resolved,8/19/14,NA
